type,content,optionA,optionB,optionC,optionD,standardAnswer,score,difficulty,tags,gradingRule.multiSelectScoring
single_choice,3+3=?,4,5,6,7,C,5,1,数学 基础,all_correct_full
single_choice,4+4=?,6,7,8,9,C,5,1,数学 基础,all_correct_full
single_choice,5+5=?,8,9,10,11,C,5,1,数学 基础,all_correct_full
single_choice,6+6=?,10,11,12,13,C,5,1,数学 基础,all_correct_full
single_choice,7+7=?,12,13,14,15,C,5,1,数学 基础,all_correct_full
single_choice,8+8=?,14,15,16,17,C,5,1,数学 基础,all_correct_full
single_choice,9+9=?,16,17,18,19,C,5,1,数学 基础,all_correct_full
single_choice,10+10=?,18,19,20,21,C,5,1,数学 基础,all_correct_full
single_choice,11+11=?,20,21,22,23,C,5,1,数学 基础,all_correct_full
single_choice,12+12=?,22,23,24,25,C,5,1,数学 基础,all_correct_full
single_choice,13+13=?,24,25,26,27,C,5,1,数学 基础,all_correct_full
single_choice,14+14=?,26,27,28,29,C,5,1,数学 基础,all_correct_full
single_choice,15+15=?,28,29,30,31,C,5,1,数学 基础,all_correct_full
single_choice,16+16=?,30,31,32,33,C,5,1,数学 基础,all_correct_full
single_choice,17+17=?,32,33,34,35,C,5,1,数学 基础,all_correct_full
single_choice,18+18=?,34,35,36,37,C,5,1,数学 基础,all_correct_full
single_choice,19+19=?,36,37,38,39,C,5,1,数学 基础,all_correct_full
single_choice,20+20=?,38,39,40,41,C,5,1,数学 基础,all_correct_full
single_choice,HTTP 状态码 200 表示？,请求成功,重定向,客户端错误,服务器错误,A,5,2,网络 基础,all_correct_full
single_choice,HTTP 状态码 301 表示？,请求成功,永久重定向,客户端错误,服务器错误,B,5,2,网络 基础,all_correct_full
single_choice,HTTP 状态码 404 表示？,请求成功,重定向,资源未找到,服务器错误,C,5,2,网络 基础,all_correct_full
single_choice,HTTP 状态码 500 表示？,请求成功,重定向,客户端错误,服务器内部错误,D,5,2,网络 基础,all_correct_full
single_choice,HTTP 状态码 403 表示？,请求成功,禁止访问,客户端错误,服务器错误,B,5,2,网络 基础,all_correct_full
single_choice,HTTP 状态码 201 表示？,已创建,重定向,客户端错误,服务器错误,A,5,2,网络 基础,all_correct_full
single_choice,HTTP 状态码 302 表示？,已创建,临时重定向,客户端错误,服务器错误,B,5,2,网络 基础,all_correct_full
single_choice,HTTP 状态码 400 表示？,已创建,重定向,错误请求,服务器错误,C,5,2,网络 基础,all_correct_full
single_choice,HTTP 状态码 501 表示？,已创建,重定向,客户端错误,未实现,D,5,2,网络 基础,all_correct_full
single_choice,HTTP 状态码 401 表示？,已创建,重定向,未授权,服务器错误,C,5,2,网络 基础,all_correct_full
single_choice,TCP 端口 80 用于什么？,HTTP,HTTPS,FTP,SSH,A,5,3,网络 基础,all_correct_full
single_choice,TCP 端口 443 用于什么？,HTTP,HTTPS,FTP,SSH,B,5,3,网络 基础,all_correct_full
single_choice,TCP 端口 22 用于什么？,HTTP,HTTPS,FTP,SSH,D,5,3,网络 基础,all_correct_full
single_choice,TCP 端口 21 用于什么？,HTTP,HTTPS,FTP,SSH,C,5,3,网络 基础,all_correct_full
single_choice,TCP 端口 3306 用于什么？,HTTP,MySQL,FTP,SSH,B,5,3,网络 基础,all_correct_full
single_choice,TCP 端口 5432 用于什么？,HTTP,PostgreSQL,FTP,SSH,B,5,3,网络 基础,all_correct_full
single_choice,TCP 端口 27017 用于什么？,HTTP,MongoDB,FTP,SSH,B,5,3,网络 基础,all_correct_full
single_choice,TCP 端口 6379 用于什么？,HTTP,Redis,FTP,SSH,B,5,3,网络 基础,all_correct_full
single_choice,TCP 端口 5672 用于什么？,HTTP,RabbitMQ,FTP,SSH,B,5,3,网络 基础,all_correct_full
single_choice,TCP 端口 11211 用于什么？,HTTP,Memcached,FTP,SSH,B,5,3,网络 基础,all_correct_full
single_choice,IPv4 地址有多少位？,32,64,128,256,A,5,3,网络 基础,all_correct_full
single_choice,IPv6 地址有多少位？,32,64,128,256,C,5,3,网络 基础,all_correct_full
single_choice,OSI 模型有多少层？,5,6,7,8,C,5,3,网络 基础,all_correct_full
single_choice,TCP/IP 模型有多少层？,3,4,5,6,B,5,3,网络 基础,all_correct_full
single_choice,DNS 协议使用什么端口？,53,80,443,22,A,5,3,网络 基础,all_correct_full
single_choice,DHCP 协议使用什么端口？,67/68,53,80,443,A,5,3,网络 基础,all_correct_full
single_choice,SMTP 协议使用什么端口？,25,80,443,110,A,5,3,网络 基础,all_correct_full
single_choice,POP3 协议使用什么端口？,25,80,443,110,D,5,3,网络 基础,all_correct_full
single_choice,IMAP 协议使用什么端口？,25,80,443,143,D,5,3,网络 基础,all_correct_full
single_choice,HTTPS 使用什么端口？,80,443,8080,3000,B,5,3,网络 基础,all_correct_full
single_choice,JavaScript 中的 typeof null 返回什么？,null,undefined,object,number,C,5,3,JavaScript 基础,all_correct_full
single_choice,JavaScript 中的 typeof undefined 返回什么？,null,undefined,object,number,B,5,3,JavaScript 基础,all_correct_full
single_choice,JavaScript 中的 NaN 等于 NaN 吗？,等于,不等于,不确定,不知道,B,5,3,JavaScript 基础,all_correct_full
single_choice,JavaScript 中的 [] == [] 是 true 吗？,是,否,不确定,不知道,B,5,3,JavaScript 基础,all_correct_full
single_choice,JavaScript 中的 {} == {} 是 true 吗？,是,否,不确定,不知道,B,5,3,JavaScript 基础,all_correct_full
single_choice,JavaScript 中的 1 + '1' 等于什么？,2,11,NaN,undefined,B,5,3,JavaScript 基础,all_correct_full
single_choice,JavaScript 中的 '1' - 1 等于什么？,0,1,11,NaN,A,5,3,JavaScript 基础,all_correct_full
single_choice,JavaScript 中的 0.1 + 0.2 等于 0.3 吗？,是,否,不确定,不知道,B,5,3,JavaScript 基础,all_correct_full
single_choice,JavaScript 中的 typeof function(){} 返回什么？,object,function,undefined,string,B,5,3,JavaScript 基础,all_correct_full
single_choice,JavaScript 中的 typeof [] 返回什么？,object,array,undefined,string,A,5,3,JavaScript 基础,all_correct_full
